Code,Food name,Edible conversion factor,Energy (kj),Water (g),Ash (g),Protein (g),Fat (g),Fibre (g),Carbohydrate available (g),Energy (kcal),Ca (mg),Fe (mg),Mg (mg),P (mg),K (mg),Na (mg),Zn (mg),Se (mcg),Vit A-RAE (mcg),Vit A-RE (mcg),Retinol (mcg),b-carotene equivalent (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Dietary Folate Eq. (mcg),Food folate (mcg),Vit B12 (mcg),Vit C (mg)
5015,"Lemon, pulp, raw",0.66,155,89.5,0.3,0.82,0.2,2.5,6.7,37,33,0.3,15,16,120,2,0.1,0,1,2,0,10,0.03,0.02,0.2,11,11,0,44
 SD or min-max,,,,,0.2-0.5,,,,,,,,,,,,,,,,,,,,,,,,5
 n,,,,1,2,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,10
5016,"Lime, juice",1,125,90.3,0.4,0.7,0.2,4.1,4.3,30,26,0.3,11,20,150,3,0,0,2,5,0,28,0.03,0.02,0.2,6,6,0,41
 SD or min-max,,,,,,,,,,,22-30,,,,,,,,,,,,,,,,,,4
 n,,,,1,1,1,1,1,,,2,1,1,1,1,1,1,1,,,,,1,1,1,,1,,6
5017,"Lime, pulp, raw",0.7,178,87.1,0.6,0.7,0.2,4.1,7.4,42,22,0,11,20,150,3,0.1,0,3,5,0,31,0.02,0.03,0.2,8,8,0,55
 SD or min-max,,,,84.6-89.5,0.4-0.7,0.6-0.8,,,,,,,,,,,,,,,,,,,,,,,47-63.1
n,,,,2,2,2,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,2
5018,"Loquat, peeled, raw",0.75,214,84.6,0.7,0.62,0.2,4.51,9.5,51,13,0.5,13,20,180,2,0.22,tr,45,89,0,537,0.02,0.04,0.3,14,14,0,4.1
 SD or min-max,,,,,,,0.2-0.2,,,,,,,,,,,,,,,,,,,,,,
n,,,,1,1,1,2,1,,,1,1,1,1,1,1,1,,,,,,1,1,1,,1,,1
5019,"Mango, ripe, raw",0.72,272,83,0.5,0.6,0.3,1.6,14,64,14,0.2,9,17,186,1,0.14,1,92,184,0,1105,0.03,0.04,0.6,54,54,0,35
 SD or min-max,,,,,,,0.2-0.4,1.6-1.6,,,9,0.2-0.3,8-10,5,168-203,1-1,0.09-0.19,1-1,,,,,,0.01,0.6-0.7 ,,43-64 ,,7
 n,,,,1,1,1,2,2,,,3,2,2,3,2,2,2,2,,,,,1,3,2,,2,,3
5020,"Mango, unripe, raw",0.72,192,86.7,0.6,0.8,0.1,3,8.9,45,27,0.4,18,15,147,26,0.09,0,7,13,0,78,0.02,0.03,0.26,[26],[26],0,88
 SD or min-max,,,,85.1-88.2,0.5-0.7,0.7-0.9,0.1-0.1,,,,,,,,,18-33,,,,,,,,,,,,,86-90.2
 n,,,,2,2,2,2,1,,,1,1,1,1,1,2,1,,,,,,1,1,1,,1,,2
5021,"Mulberry, raw",0.99,148,89.5,0.9,1.6,0.2,2.2,5.6,35,55,1.2,19,40,310,6,0.2,1,1,2,0,10,0.03,0.07,0.7,33,33,0,11
 SD or min-max,,,,89.3-89.8,0.8-0.9,1-2.2,,,,,30,0.9,12-25,10,,,,,,,,,0.01-0.04,0.01-0.13 ,,,,,10-12 
 n,,,,2,2,2,1,1,,,4,4,2,4,1,1,1,1,,,,,2,2,1,,1,,2
5022,"Orange, Juice",1,77,94.6,0.4,0.4,0.1,1.1,3.6,18,21,0.7,11,20,146,2,0.08,0,3,7,0,42,0.06,0.02,0.1,44,44,0,[64]
 SD or min-max,,,,91.4-97.7,,0.2-0.5,0.06,1.3,,,,,11-11,19-20,1,1,0.09,0,,,,,,,0.1,,6.7,,
 n,,,,2,1,2,4,3,,,1,1,2,2,3,3,3,3,,,,,1,1,3,,3,,1
5023,"Orange, pulp, raw",0.75,176,87.6,0.7,0.9,[0.2],3.1,7.5,42,23,0.2,10,13,165,5,0.05,0,5,9,0,57,0.04,0.03,0.2,52,52,0,45
 SD or min-max,,,,,,,,0.9,,,5,0.1-0.3,,,,,,,,,,,0.02-0.06,0.02-0.03 ,0.2-0.2 ,,,,
 n,,,,1,1,1,1,3,,,4,2,1,1,1,1,1,1,,,,,2,2,2,,1,,1
5024,"Papaya, yellow skin, peeled, raw",0.76,153,89.8,0.5,0.6,[0.3],2.1,6.8,36,21,0.6,28,17,140,4,0.2,0,85,170,0,1018,0.04,0.03,0.3,37,37,0,51
 SD or min-max,,,,,,,,,,,21-21,0.6-0.6,,15-18,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,2,2,1,2,,1,1,1,,,,,1,1,,,1,,1
5025,"Passion fruit, dark purple skin, raw",0.52,313,75.7,0.8,2.4,[0.9],11.7,8.7,75,10,0.6,28,68,200,19,0.8,1,64,127,0,764,0.03,0.14,2.5,7,7,0,29
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,,,,,1,,1
5026,"Passion Fruit, juice",1,408,75.5,0.5,0.8,0.1,0.2,22.9,96,13,0.4,21,20,252,10,0.3,0,45,90,0,538,0.07,0.01,1.5,8,8,0,23
 SD or min-max,,,,,,,0.07,0.2-0.2,,,13-14,0.1,6.9,6.1,45,7.5,0.4,0-0,,,,,,,0.8,,7-8,,6
 n,,,,1,1,1,3,2,,,2,3,3,3,3,3,3,2,,,,,1,1,3,,2,,3
5027,"Peach, yellow-fleshed, unpeeled, raw",0.88,204,86.7,0.4,1,0.1,1.9,9.9,48,5,0.3,8,20,203,2,0.11,1,13,26,0,157,0.01,0.03,0.8,0,4,0,8
 SD or min-max,,,,86-87.4,,0.8-1.2,,,,,,0.3-0.3,,,,2-2,,,,,,,0.01-0.02,0.01,,,,,2
 n,,,,2,1,2,1,1,,,1,2,1,1,1,2,1,1,,,,,2,3,1,,1,,3
5028,"Pear, unpeeled, raw",0.85,200,86,0.3,0.4,0.2,4,9.1,48,8,0.3,7,11,96,1,0.08,0,1,2,0,14,0.03,0.03,0.1,7,7,0,4
 SD or min-max,,,,,,0.2,0,3.6-4.5,,,,0.2,6-8,4,,1-2,0.07-0.09,0-1,,,,,0.02,,0.1-0.1 ,,,,3.3-5 
 n,,,,1,1,3,3,2,,,1,3,2,3,1,2,2,2,,,,,3,1,2,,1,,2
5029,"Pineapple, canned in syrup, whole contents",1,393,77,0.2,0.3,0.6,0.7,21.2,93,4,0.4,11,3,80,6,0,1,1,1,0,8,0.05,0,0,5,5,0,9
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8-10
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,2
5030,"Pineapple, raw",0.68,172,88.6,0.3,0.48,[0.2],2.3,8.1,41,16,0.4,13,8,143,1,0.37,1,3,5,0,31,0.05,0.03,0.12,32,32,0,36.4
 SD or min-max,,,,,0.3-0.4,,,,,,1,0.4-0.4,,2-14,,,,,,,,,,,,,,,
 n,,,,1,2,1,1,1,,,3,2,,2,,,1,1,,,,,,,,,1,,
5031,"Plum, purple skin, raw",0.93,200,86.9,0.4,0.7,0.1,2,9.9,47,10,0.4,7,12,158,1,0.1,0,6,12,0,74,0.04,0.06,0.5,1,6,0,4
 SD or min-max,,,,,,,,2-2.1,,,,0.2,6-8,,153-162,,0.1-0.1,0-1,,,,,,0.04,,,8,,2
 n,,,,1,1,1,1,2,,,1,3,2,1,2,1,2,2,,,,,1,3,2,,5,,3
5032,"Pomegranate, raw",0.57,312,78.1,0.4,1.6,0.2,6.4,13.3,74,12,0.8,9,37,172,4,0.4,1,4,9,0,53,0.06,0.06,0.4,38,38,0,15
 SD or min-max,,,,,,,,,,,,0.5-1,,,133-210,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,2,1,1,2,1,1,1,,,,,1,2,1,,1,,2
5033,"Raspberry, raw",1,228,83.2,0.7,1.4,0.2,5.6,8.9,54,27,0.8,25,37,156,1,0.32,1,3,5,0,30,0.04,0.03,0.3,34,34,0,30
 SD or min-max,,,,1.9,0.4-0.9,1-1.8,,,,,14-40,0.5-1.1,,34-39,,,,,,,,,,,,,,,
 n,,,,3,2,2,1,1,,,2,2,1,2,1,1,1,1,,,,,1,1,1,,1,,2
5034,"Strawberry, raw",0.96,146,90,0.4,0.7,0.2,2.5,6.3,35,19,0.6,8,27,158,3,0.18,1,0,0,0,1,0.03,0.02,0.1,39,39,0,49
 SD or min-max,,,,87.8-92.1,,,,,,,8-30,,,24-30,,,,,,,,,,,,,,,
 n,,,,2,1,1,1,1,,,2,1,1,2,1,1,1,1,,,,,1,1,1,,1,,2
5035,"Tangerine, juice, non-commercial",1,195,88.3,0.4,0.6,0.2,0.2,10.3,46,12,0.2,11,20,178,1,0.03,0.1,13,25,0,152,0.04,0.03,0.1,21,21,0,37
 SD or min-max,,,,86.1-90.5,0.1,0.2,,,,,8-18,,,,,,,,,,,,,,,,,,4
 n,,,,2,3,3,1,1,,,2,1,1,1,1,1,1,1,,,,,2,1,1,,2,,7
5036,"Tangerine, pulp, raw",0.75,218,86.2,0.4,0.87,0.2,1.5,10.8,52,26,0,17,17,150,2,0.1,1,1,2,0,10,0.08,0.05,0.3,24,24,0,36
 SD or min-max,,,,,0.3-0.5,0.7-1,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,2,2,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,2
5037,"Tree tomato, dark red skin, peeled, raw",0.4,177,85.6,0.9,2.1,[0.3],6.5,4.6,43,56,1,19,51,133,20,0.4,0,45,91,0,546,0.13,0.1,1.6,63,63,0,12.6
SD or min-max ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
5038,"Watermelon, fruit, green with white stripes, raw",0.64,112,92.9,0.3,0.6,[0.3],0.93,5,26,4,0.7,10,20,88,2,0.21,0,21,41,0,246,0.03,0.04,0.26,16,16,0,11.5
SD or min-max ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,,1,,1
5039,"Zambarau, peeled, raw",0.62,252,85.3,0.4,0.52,[0.4],,[13.5],59,44,0.5,17,17,72,11,0.42,1, -,- ,- ,- ,- ,- ,- ,- ,- ,0,- 
SD or min-max ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,
6001,"Butter (cow milk), no added salt (~80-84% fat)",1,3020,17.2,0.7,1.1,81.3,0,0,735,15,0,2,20,15,10,0.06,1,845,858,832,153,0,0.05,1.1,6,6,0,0
 SD or min-max,,,,15.3-19,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,2,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,2
6002,"Butter (cow milk), salted (~80% fat)  ",1,3040,15.3,1.7,1.1,81.3,0,0.6,739,17,0.01,2,16,23,776,0.06,1,845,858,832,153,0,0.05,1.1,6,6,0,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1
6003,"Cheese, cheddar, regular fat",1,1660,37,3.8,26,32.8,0,0.4,401,800,0.3,27,478,73,600,3.55,17,166,174,159,87,0.04,0.5,1.5,52,52,1.9,1
 SD or min-max,,,,,,,,,,,,0.1-0.4,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,2,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1
6004,"Cheese, cottage (cow milk), plain, skimmed",1,382,79,1.5,13.3,2.5,0,3.8,91,60,0.1,8,143,123,450,0.24,6,34,37,30,44,0.05,0.2,0.5,3,3,0.6,0
 SD or min-max,,,,,,12.5-14,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,2,1,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,2
6005,"Cheese, cottage (cow milk), plain, whole",1,508,75.4,1.4,15.4,5.7,0,2.1,121,89,0.1,8,143,123,277,0.24,6,35,38,31,44,0.05,0.29,0.5,3,3,0.6,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
6006,"Cheese, cottage, Milk, Cow, Sour",1,515,73.6,1.2,13.7,4.3,0,7.2,122,112,0.7,8,180,104,364,0.4,10,37,38,36,12,0.03,0.27,0.1,12,12,0.43,0
 SD or min-max,,,,,0.9-1.4,11.1-16.3,,,,,,0.1-1.4,,,,,,,,,,,,,,,,,
 n,,,,1,2,2,1,,,,1,2,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
6007,"Cream, pure, 35% fat",1,943,72,0.3,2.4,23.6,0,1.7,229,39,0.3,4,60,55,40,0,0,174,184,164,118,0.03,0.12,0,64,64,0.2,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
6008,Ghee (cow milk),1,3690,0,0.5,0.3,99.9,0,0,898,2,0.2,0,3,5,2,0.01,1,900,940,860,480,0,0.01,0,0,0,0,0
 SD or min-max,,,,,0.2-0.7,,,,,,,0-0.4,,,,,,,,,,,,,,,,,
 n,,,,1,2,1,1,,,,1,2,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1
6009,"Ice cream, caramel flavour, regular fat",1,856,61.4,0.7,3.7,10.6,0,23.6,205,93,0.1,12,84,142,48,0.23,1,166,182,150,190,0,0.29,0.7,10,10,0.1,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
6010,"Ice cream, chocolate flavour, regular fat",1,946,56.4,1,4.4,12,2,24.2,226,130,0.9,30,110,245,71,0.6,2,145,147,143,23,0,0.19,0.2,16,16,0.25,0.7
 SD or min-max,,,,0.9,0.1,0.7,4,,,,25,0.07,2,5,6,9,0.03,0,,,47,,0,0,0,,,0,0.2
 n,,,,4,4,4,4,,,,4,4,3,3,3,4,3,3,,,3,,3,3,3,,2,3,4
6011,"Ice cream, strawberry flavour, regular fat",1,842,60.7,0.7,3.5,9.5,0.5,25.2,201,107,0.2,13,92,165,54,0.29,2,139,155,123,190,0.02,0.27,0.4,11,11,0.2,0
 SD or min-max,,,,60-61.4,0.7-0.7,3.7-4,8.4-10.6,,,,93-120,0.1-0.2,12-14,84-100,142-188,48-60,0.23-0.34,1-2,,,,,,,,,,,
 n,,,,2,2,2,2,,,,2,2,2,2,2,2,2,2,,,2,,2,2,2,,2,2,1
6012,"Ice cream, vanilla flavour, regular fat",1,834,62.7,0.7,3.9,10.6,0,22.2,199,117,0.2,12,84,142,64,0.23,1,166,182,150,190,0,0.25,0.7,10,10,0.1,0
 SD or min-max,,,,61.4-64,,3.7-4,,,,,93-140,0.1-0.2,,,,48-80,,,,,,,,,,,,,
 n,,,,2,1,2,1,,,,2,2,1,1,1,2,1,1,,,1,,1,2,1,,1,1,1
6013,"Ice cream, vanilla flavour, with nuts, regular fat",1,917,59.6,0.7,4,12.2,0.2,23.3,219,92,0.2,15,91,157,47,0.3,1,162,177,146,186,0,0.29,0.7,11,11,0.1,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
6014,"Milk, camel, whole, fresh, raw         ",1,219,89.8,0.7,2.2,2.8,0,4.5,52,56,1.5,16,92,344,119,0.35,2,15,16,13,18,0.61,0.08,0,8,8,0.6,0
 SD or min-max,,,,,,,,,,,,,,73-110,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,2,1,1,1,1,,,1,,1,1,,,1,,1
6027,"Milk, camel, whole, fresh, boiled",1,257,88,0.8,2.6,3.3,0,5.3,62,66,1.7,18,108,404,140,0.41,2,16,16,16,0,0.65,0.09,0,8,8,1,0
6015,"Milk, cow, condensed, skimmed, sweetened, raw",1,1210,27,2.2,9.9,0.2,0,60.7,284,358,0.3,30,300,446,125,1.05,8,0,0,0,2,0.1,0.6,0.3,0,0,0.4,2
SD or min-max ,,,,,,,,,,,335-380,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,2,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1
6016,"Milk, cow, condensed, whole, sweetened, raw",1,1410,25.8,1.9,8.3,9.2,0,54.8,335,280,0.2,25,255,357,130,0.9,8,74,78,70,46,0.1,0.5,0.3,0,0,0.4,1
SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1
6017,"Milk, cow, powder, skimmed",1,1530,4.1,6.8,37.2,0.9,0,51,361,1290,0.4,115,1000,1602,550,3.83,23,5,5,4,7,0.45,1.64,0.9,54,54,4,2
 SD or min-max,,,,,,36.4-38,,,,,1200-1370,,,,,,,,,,,,,,,,,,
 n,,,,1,1,2,1,,,,2,1,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,1
6018,"Milk, cow, powder, whole    ",1,2070,3.2,6,26.1,26.4,0,38.4,495,975,0.5,85,730,1157,440,2.97,25,395,408,383,149,0.34,1.32,0.8,54,54,3.2,3
 SD or min-max,,,,2.9-3.5,,25.8-26.3,,,,,950-1000,0.4-0.6,,,,,,,,,,,0.06,0.3,,,,,
 n,,,,2,1,2,1,,,,2,2,1,1,1,1,1,1,,,1,1,3,3,1,,1,1,1
6019,"Milk, cow, skimmed, raw",1,162,89.8,0.8,3.5,0.1,0,5.8,38,130,0.1,12,109,170,44,0.32,1,0,0,0,1,0.03,0.18,0.1,6,6,0.4,1
 SD or min-max,,,,89.6-90,,,,,,,,0-0.1,,97-120,,,,,,,,,,,,,,,
 n,,,,2,1,1,1,,,,1,2,1,2,1,1,1,1,,,1,1,1,1,1,,1,1,1
6028,"Milk, cow, skimmed, boiled",1,190,88,0.9,4.1,0.1,0,6.8,45,153,0.1,14,128,200,52,0.38,1,0,0,0,1,0.03,0.2,0.1,6,6,0,1
6020,"Milk, cow, whole, fermented (Lala - Industrial)",1,269,88.3,0.7,2.8,4.1,0,4.1,65,100,0.1,10,138,126,36,0.34,3,34,34,34,0,0,0.2,0,0,tr,0.23,0
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,,1,,,1,1,
6021,"Milk, cow, whole, fermented (Lala - mursik)",1,243,89.1,0.8,3.1,3.5,0,3.6,58,65,0.1,5,59,64,22,0.22,0,41,41,41,0,0,0.27,0,0,tr,0.1,1
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,,1,,,,1,
6022,"Milk, cow, whole, fresh, raw",1,292,86.3,0.7,3.3,3.5,0,6.1,70,119,0.1,11,122,136,39,0.63,3,41,43,40,18,0,0.27,0,8,8,0.59,0
 SD or min-max,,,,,,,,,,,,,,88-156,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,2,1,1,1,1,,,1,,,1,,,1,1,
6029,"Milk, cow, whole, fresh, boiled",1,344,83.8,0.9,3.9,4.2,0,7.2,82,140,0.1,13,143,160,45,0.74,3,47,47,47,0,0,0.3,0,8,8,1,0
6023,"Milk, goat, fluid, whole, raw      ",1,325,85.3,0.9,3.5,[4.5],0,5.8,78,180,0.1,12,128,207,57,0.35,1,32,32,32,0,0.05,0.19,0.5,1,1,0.35,0.5
 SD or min-max,,,,2,0.2,0.2,0.5,,,,62,0.1,,120-135,169-245,21,,,,,,,,,,,,,
 n,,,,4,3,4,4,,,,3,3,1,2,2,3,1,1,,,1,,2,2,1,,1,2,2
6030,"Milk, goat, fluid, whole, boiled",1,382,82.7,1.1,4.1,5.3,0,6.8,92,211,0.1,14,150,243,68,0.41,1,38,38,38,0,0.05,0.21,0.5,1,1,0,0
6024,"Milk, human/breast, mature, fluid",1,303,87.2,0.2,1.2,4.4,0,7.1,73,32,0,3,15,51,14,0.17,2,61,61,60,7,0.02,0.03,0.2,5,5,0.05,4
 SD or min-max,,,,0.8,0.1-0.2,0.1,,,,,4,,,11-18,,,,,,,,,,,,,,,1
 n,,,,3,2,3,1,,,,3,1,1,2,1,1,1,1,,,1,,2,2,1,,1,1,3
6025,"Milk, sheep, fluid, whole, raw    ",1,391,82.8,1.1,5.1,5.8,0,5.2,94,193,0.1,18,142,175,44,0.54,2,81,81,81,tr,0.07,0.36,0.4,7,7,0.7,4
 SD or min-max,,,,,,4.3-5.9,,,,,,,,125-158,137-213,,,,,,,,,,,,,,
 n,,,,1,1,2,,,,,1,1,1,2,2,1,1,1,,,,,1,1,1,,1,1,1
6031,"Milk, sheep, fluid, whole, boiled",1,459,79.8,1.2,6,6.8,0,6.2,110,227,0.1,21,166,206,52,0.64,2,95,95,95,0,0.07,0.4,0.4,7,7,1,3
6026,"Yoghurt, cow milk, whole, plain",1,356,82,0.7,2.9,3.1,0,11.3,85,149,0.2,10,93,130,32,0.34,2,34,36,32,23,0.1,0.2,0.1,0,tr,0.2,tr
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,,,1,1,
7001,"Beef, high fat, w/o bones, raw     ",0.85,1180,58.2,0.9,18.6,24.1,0,0,284,16,2.2,12,188,134,83,3,1,29,31,29,13,tr,0.18,3.4,tr,tr,1.63,0.5
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
7031,"Beef, high fat, w/o bones, boiled (without salt)",0.77,1670,39.7,1.4,31.1,30.8,0,0,402,21,3.7,12,203,112,62,5,1,37,38,35,16,tr,0.23,2.8,tr,tr,2,1
7032,"Beef, high fat, w/o bones, grilled (without salt and fat)",0.8,1480,47.4,1.2,25.9,28,0,0,356,20,3,14,235,158,98,4.17,1,31,32,30,14,tr,0.22,3.8,tr,tr,2,1
7033,"Beef, high fat, w/o bones, stewed (without salt)",0.78,1890,34.7,1.4,29.1,37.6,0,0,455,21,3.5,12,235,105,58,4.69,1,34,36,33,15,tr,0.23,3.2,tr,tr,2,1
7002,"Beef, lean, raw",0.9,439,75.6,1.2,20.6,2.3,0,0.4,104,5,2.3,24,279,241,107,4.22,15,6,7,6,10,tr,0.23,5.2,2,2,2.42,0.5
SD or min-max,,,,,,,,,,,4-5,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,2,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
7034,"Beef, lean, boiled (without salt)",0.82,884,50.3,2.4,41.9,4.6,0,0,209,7,4.7,30,370,246,99,8.62,30,10,11,8,15,tr,0.38,5.3,2,2,3,1
7035,"Beef, lean, grilled (without salt and fat)",0.87,602,66.2,1.6,28.5,3.1,0,0,142,6,3.1,29,349,285,127,5.87,20,7,7,6,10,tr,0.29,5.8,2,2,3,1
7036,"Beef, lean, stewed (without salt)",0.83,817,54,2.2,38.8,4.3,0,0,194,7,4.4,30,421,228,91,7.97,28,9,10,8,14,tr,0.37,5.9,2,2,3,1
7003,"Beef, liver, raw",0.99,506,73.9,1.3,20,[4.2],0,0.7,120,6,10.1,17,369,159,75,4.12,17,19534,19601,19466,811,0.23,2.63,9.4,268,268,112.84,14
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,
7037,"Beef, liver, boiled (without salt)",0.99,749,60.4,2,30.2,6.4,0,0,178,7,14.6,20,391,145,68,6.25,25,23677,23759,23595,983,0.24,3.5,7.1,264,264,111,15
7004,"Beef, medium fat, w/o bones, raw",0.9,632,70.3,1,19.7,7.2,0,1.8,151,4,12.4,24,280,231,121,3.85,20,10,10,9,5,tr,0.21,4.4,2,2,1.9,0.6
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
7038,"Beef, medium fat, without bones, boiled (without salt)",0.84,829,55.2,1.7,32.8,7.4,0,0,197,5,20.7,24,303,192,91,6.41,34,12,13,11,6,tr,0.27,3.7,2,2,2,1
7039,"Beef, medium fat, without bones, grilled (without salt and fat)",0.87,734,61.5,1.4,27.3,7.3,0,0,175,5,16.3,28,350,272,143,5.34,28,10,10,10,5,tr,0.26,4.9,3,3,2,1
7040,"Beef, medium fat, without bones, stewed (without salt)",0.85,939,53.6,1.6,30.7,11.3,0,0,224,5,19.4,24,350,180,85,6.01,32,11,12,11,6,tr,0.27,4.2,2,2,2,1
7005,"Camel blood, raw",1,348,78.4,2.2,15.8,[0.9],0,2.7,42,[8],20.6,[6],33,[114],313,[0.65],[12],[74],[74],[74],,[0.04],[0.05],[0.2],-,-,-,-
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,,,
7006,Camel Meat,1,826,60.5,1.4,18.6,8.9,0,10.8,197,4,3.8,13,134,325,49,1.93,9,1,2,0,10,0.04,0.2,6,8,8,1.7,0
 SD or min-max,,,,58-63,1.4-1.4,18.1-19,7.7-10,,,,4-4,2.6-5,,118-150,,46-52,1.93-1.93,9-9,,,,,,,,,,,
 n,,,,2,2,2,2,,,,2,2,1,2,1,2,2,2,,,2,,2,2,2,,2,2,2
7007,"Cow's blood, raw",1,403,75,2.4,13.8,[0.9],0,8,95,[14],18.8,5,20,[199],469,[1.13],[21],[74],[74],[74],,[0.08],[0.09],[0.35],-,-,-,-
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,,,
7008,"Duck, meat and skin, fresh, raw",1,1050,62.2,1.1,17.8,21.2,0,0,253,5,1.9,15,167,212,82,1.55,20,39,39,39,0,0.35,0.45,3.51,0,0,0.6,0
 SD or min-max,,,,14.4,1-1.2,4.7,5.5-36.9,,,,1.5,0.7,10-19,70.1,153-270,18.1,1.09-2,15-25,,,,,,,,,,,
 n,,,,4,2,4,2,,,,3,4,2,3,2,4,2,2,,,2,,2,2,2,,2,2,2
7009,"Chicken, unespecified part, w/o bone, meat&skin, raw",0.65,864,63.6,0.9,18.7,13,0,3.8,207,13,2.5,20,243,152,68,0.89,16,75,75,75,0,0.14,0.12,6.4,11,11,0.63,1.2
 SD or min-max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n,,,,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,1,,1,1,1
7041,"Chicken, unspecified part, w/o bone, meat&skin, boiled (without salt)",0.79,942,55.7,1.2,23.7,14.6,0,0,226,14,2.5,18,215,77,34,1.13,21,52,52,52,0,0.1,0.14,4.9,7,7,0,2
7042,"Chicken, unspecified part, w/o bone, meat&skin, grilled (without salt and fat)",0.78,951,55.2,1.2,24,14.7,0,0,228,15,2.9,19,249,156,70,1.14,21,72,72,72,0,0.11,0.13,6.6,9,9,1,1
